sse,vr
0x141536338,0x1415AD6E0
0x14154CC08,0x1415C4858
0x141571058,0x1415EA5F8
0x141571318,0x1415E8150
0x1415712D0,0x1415E8108
0x141571278,0x1415E80B0
0x14172B238,0x1417B3668
0x141715CF0,0x14179E128
0x141715E28,0x14179E250
0x141640110,0x1416B8580
0x141591F78,0x1415FE388
0x141586B88,0x1415FF228
0x141538FF8,0x1415B0368
0x1417452D8,0x1417CD768
0x141546CB0,0x1415BE070
0x1416046F0,0x14167B490
0x141722BE0,0x1417AB000
0x1416D6148,0x14175E4B8
0x1417E0FD0,0x141891590
0x141612F48,0x141689CE8
0x14158DBA0,0x141606308
0x14172E2A0,0x1417B66D0
0x1416400B0,0x1416B8520
0x14158AD08,0x141603428
0x141758BC8,0x1417E1080
0x14158E198,0x1416068B0
0x14170FD98,0x141798178
0x14169C250,0x14171F350
0x14169C240,0x14171F340
0x14159BF48,0x1416130D0
0x141595118,0x14160C2B8
0x14159BF58,0x1416130E0
0x14159BB90,0x141612D18
0x14159BBB0,0x141612D38
0x14159BED8,0x141613060
0x14159BEF8,0x141613080
0x14159C068,0x1416131F0
0x14159C088,0x141613210
0x14174EEA8,0x1417D7308
0x14172AF20,0x1417B3350
0x14160CAC8,0x141683868
0x14172BA28,0x1417B3E58
0x1417B6E58,0x1418672A8
0x1417BC738,0x14186CCD8
0x1416AFD78,0x1417334C8
0x141674CD8,0x1416F7D98
0x1417BEC60,0x14186F200
0x14154CC30,0x1415C4880
0x1417B2970,0x141862B80
0x141798FF0,0x141823F40
0x1417AE1B8,0x141839108
0x1417991C0,0x141824110
0x1417A68F8,0x141831848
0x14179F388,0x14182A018
0x14179FE38,0x14182AAC8
0x141799218,0x141824168
0x14179DEE0,0x141828E30
0x14179DF18,0x141828E68
0x141546608,0x1415BD9C8
0x14162C388,0x1416A2870
0x141713C90,0x14179BFF0
0x1416ED4F0,0x141775960
0x141851270,0x1418F0310
0x1418513B8,0x1418F0460
0x1418513C8,0x1418F0470
0x141851510,0x1418F05C0
0x141851520,0x1418F05D0
0x141853B80,0x1418F30C0
0x141856A90,0x1418F60E8
0x141809EE0,0x1418B83D8
0x1415910F8,0x141609A18
0x141758A40,0x1417E0EF8
0x141759460,0x1417E18D0
0x1416B31D8,0x141737560
0x1416B31E8,0x141737570
0x1416136B0,0x14168A450
0x141674F20,0x1416F7FE0
0x141604118,0x14167AEB8
0x14178B670,0x141815888
0x141866CF8,0x141906678
